Accession,Description
BDA39292.1,hypothetical protein CPARK_000013100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39291.1,cytosol aminopeptidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39290.1,glutamate--cysteine ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39289.1,hypothetical protein CPARK_000012800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39288.1,chaperone protein HtpG [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39287.1,SsrA-binding protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39286.1,hypothetical protein CPARK_000012500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39285.1,ATP-dependent zinc metalloprotease FtsH [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39284.1,hypothetical protein CPARK_000012300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39283.1,FO synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39282.1,pyridoxal phosphate homeostasis protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39281.1,carbamoyl dehydratase HypE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39280.1,sugar transporter SemiSWEET [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39279.1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39278.1,ferredoxin-thioredoxin reductase
BDA39277.1,hypothetical protein CPARK_000011600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39276.1,lipid II flippase MurJ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39275.1,hypothetical protein CPARK_000011400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39274.1,hypothetical protein CPARK_000011300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39273.1,hypothetical protein CPARK_000011200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39272.1,hypothetical protein CPARK_000011100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39271.1,hypothetical protein CPARK_000011000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39270.1,hypothetical protein CPARK_000010900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39269.1,hypothetical protein CPARK_000010800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39268.1,hypothetical protein CPARK_000010700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39267.1,hypothetical protein CPARK_000010600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39266.1,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39265.1,hypothetical protein CPARK_000010400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39264.1,trigger factor [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39263.1,hypothetical protein CPARK_000010200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39262.1,hypothetical protein CPARK_000010100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39261.1,ribonuclease Z [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39260.1,hypothetical protein CPARK_000009900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39259.1,hypothetical protein CPARK_000009800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39258.1,aminomethyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39257.1,peptide chain release factor 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39256.1,50S ribosomal protein L31 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39255.1,30S ribosomal protein S9 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39254.1,50S ribosomal protein L13 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39253.1,tRNA pseudouridine synthase A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39252.1,50S ribosomal protein L17 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39251.1,DNA-directed RNA polymerase subunit alpha [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39250.1,30S ribosomal protein S11 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39249.1,30S ribosomal protein S13 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39248.1,50S ribosomal protein L36 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39247.1,translation initiation factor IF-1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39246.1,adenylate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39245.1,protein translocase subunit SecY [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39244.1,50S ribosomal protein L15 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39243.1,30S ribosomal protein S5 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39242.1,50S ribosomal protein L18 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39241.1,50S ribosomal protein L6 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39240.1,30S ribosomal protein S8 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39239.1,50S ribosomal protein L5 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39238.1,50S ribosomal protein L24 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39237.1,50S ribosomal protein L14 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39236.1,30S ribosomal protein S17 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39235.1,50S ribosomal protein L29 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39234.1,50S ribosomal protein L16 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39233.1,30S ribosomal protein S3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39232.1,50S ribosomal protein L22 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39231.1,30S ribosomal protein S19 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39230.1,50S ribosomal protein L2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39229.1,50S ribosomal protein L23 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39228.1,50S ribosomal protein L4 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39227.1,50S ribosomal protein L3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39226.1,hypothetical protein CPARK_000006500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39225.1,hypothetical protein CPARK_000006400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39224.1,trehalose transport system permease protein SugA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39223.1,trehalose transport system permease protein SugB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39222.1,methionine aminopeptidase 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39221.1,phosphoglucosamine mutase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39220.1,hypothetical protein CPARK_000005900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39219.1,chaperone protein DnaJ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39218.1,hypothetical protein CPARK_000005700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39217.1,cobalamin biosynthesis protein CobD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39216.1,hypothetical protein CPARK_000005500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39215.1,hypothetical protein CPARK_000005400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39214.1,superoxide dismutase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39213.1,aerobic cobaltochelatase subunit CobN [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39212.1,sensor histidine kinase RcsC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39211.1,hypothetical protein CPARK_000005000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39210.1,hypothetical protein CPARK_000004900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39209.1,putative copper-transporting ATPase PacS [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39208.1,hypothetical protein CPARK_000004700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39207.1,ATP-dependent Clp protease adapter protein ClpS [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39206.1,hypothetical protein CPARK_000004500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39205.1,tRNA (guanine-N(1)-)-methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39204.1,aurachin B dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39203.1,putative murein peptide carboxypeptidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39202.1,glutamine-dependent NAD(+) synthetase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39201.1,nicotinate-nucleotide adenylyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39200.1,hypothetical protein CPARK_000003900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39199.1,holliday junction ATP-dependent DNA helicase RuvB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39198.1,cytochrome c biogenesis protein CcsA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39197.1,tRNA(Ile)-lysidine synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39196.1,ribonuclease R [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39195.1,hypothetical protein CPARK_000003400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39194.1,LL-diaminopimelate aminotransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39193.1,tRNA (guanosine(18)-2'-O)-methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39192.1,hypothetical protein CPARK_000003100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39191.1,hypothetical protein CPARK_000003000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39190.1,chorismate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39189.1,magnesium transporter MgtE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39188.1,sulfite reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39187.1,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39186.1,hypothetical protein CPARK_000002500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39185.1,ATP-dependent zinc metalloprotease FtsH 3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39184.1,hypothetical protein CPARK_000002300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39183.1,hypothetical protein CPARK_000002200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39182.1,hypothetical protein CPARK_000002100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39181.1,hypothetical protein CPARK_000002000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39180.1,nucleoid-associated protein YbaB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39179.1,porphobilinogen deaminase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39178.1,hypothetical protein CPARK_000001700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39177.1,ribose-5-phosphate isomerase A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39176.1,hypothetical protein CPARK_000001500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39175.1,hypothetical protein CPARK_000001400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39174.1,6-carboxy-5
BDA39173.1,Siroheme synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39172.1,cytochrome b6-f complex subunit 4 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39171.1,cytochrome b6 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39170.1,hypothetical protein CPARK_000000900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39169.1,hypothetical protein CPARK_000000800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39168.1,putative glutaredoxin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39167.1,glutathione synthetase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39166.1,hypothetical protein CPARK_000000500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39165.1,hypothetical protein CPARK_000000400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39164.1,hypothetical protein CPARK_000000300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39163.1,hypothetical protein CPARK_000000200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39162.1,GTPase Obg [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
